linha_id,linha,sistema,subsistema,operador,fase,etapa,status,placemark,segmento,ordem_ponto,latitude,longitude,origem_aba,cidade,estacao_id,distrito
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,622,-23.543855357671,-46.6651536834397,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,623,-23.5438903008076,-46.6651321845915,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,624,-23.5439339061415,-46.6651052118337,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,625,-23.5439600434662,-46.66508898632409,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,626,-23.5440122733894,-46.6650565051707,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,627,-23.544761886613,-46.6645900496601,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,628,-23.5448401949842,-46.6645412269095,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,629,-23.5448793279567,-46.6645166873566,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,630,-23.5449057899775,-46.66449990147411,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,631,-23.544944375669,-46.6644754250653,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,632,-23.5449962260373,-46.6644419657568,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,633,-23.5450580960632,-46.6644011265916,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,634,-23.5451118593727,-46.66436463186371,metropolitano,São Paulo,estacao_agregada_0177,kml_84
