estacao_id,nome_da_estacao,sistema,subsistema,operador,linha,fase,etapa,status,servico_expresso,latitude,longitude,origem_aba,cidade,distrito
cidade_tiradentes,Cidade Tiradentes,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5829875,-46.40942519999999,metropolitano,São Paulo,kml_2
hospital_cidade_tiradentes,Hospital Cidade Tiradentes,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.59907465539806,-46.40211327503182,metropolitano,São Paulo,kml_2
ipiranga,Ipiranga,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Oeste,,em construção,Não,-23.58275547295142,-46.59676505581938,metropolitano,São Paulo,kml_41
aeroporto_de_congonhas,Aeroporto de Congonhas,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.62646267481276,-46.66138731630784,metropolitano,São Paulo,kml_85
morumbi,Morumbi,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.62254366744638,-46.70266473563835,metropolitano,São Paulo,kml_74
chucri_zaidan,Chucri Zaidan,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6139713906409,-46.69554188112313,metropolitano,São Paulo,kml_57
vila_cordeiro,Vila Cordeiro,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6157537,-46.6883471,metropolitano,São Paulo,kml_57
campo_belo,Campo Belo,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6191746,-46.6826179,metropolitano,São Paulo,kml_57
vereador_jose_diniz,Vereador José Diniz,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6219073,-46.6791632,metropolitano,São Paulo,kml_85
brooklin_paulista,Brooklin Paulista,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6291222,-46.67403479999999,metropolitano,São Paulo,kml_85
jardim_aeroporto,Jardim Aeroporto,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.63440255303385,-46.66838878876294,metropolitano,São Paulo,kml_85
panamby,Panamby,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.62657152282608,-46.71459058866652,metropolitano,São Paulo,kml_38
paraisopolis,Paraisópolis,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.61946887895894,-46.7231924988971,metropolitano,São Paulo,kml_38
americo_mourano,Américo Mourano,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6124458,-46.7211264,metropolitano,São Paulo,kml_38
cicero_pompeu_de_toledo,Cicero Pompeu de Toledo,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.59666628810511,-46.72000378910371,metropolitano,São Paulo,kml_24
caxingui,Caxingui,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.5865168,-46.7244221,metropolitano,São Paulo,kml_27
vila_paulista,Vila Paulista,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.638274363088,-46.66221255635915,metropolitano,São Paulo,kml_86
vila_babilonia,Vila Babilonia,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6436639,-46.65756880000001,metropolitano,São Paulo,kml_86
cidade_leonor,Cidade Leonor,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.6501280049329,-46.65186599286718,metropolitano,São Paulo,kml_86
hospital_saboya,Hospital Saboya,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.65348383986883,-46.64478530271541,metropolitano,São Paulo,kml_86
jabaquara,Jabaquara,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 17 - Ouro,,,em construção,Não,-23.64762845904022,-46.64082051392378,metropolitano,São Paulo,kml_86
estacao_agregada_0132,Estação agregada 132,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Cerro Corá,,em construção,,-23.5429209313397,-46.69522596002491,dados,São Paulo,kml_83
estacao_agregada_0133,Estação agregada 133,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,,-23.543565321445,-46.5404979600254,dados,São Paulo,kml_76
estacao_agregada_0134,Estação agregada 134,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,,-23.5593161633877,-46.54679688002539,dados,São Paulo,kml_33
estacao_agregada_0135,Estação agregada 135,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,,-23.5621111730003,-46.5561579600255,dados,São Paulo,kml_33
estacao_agregada_0136,Estação agregada 136,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,,-23.56982997449339,-46.5633259200255,dados,São Paulo,kml_71
estacao_agregada_0137,Estação agregada 137,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Penha,,em construção,,-23.5802761311205,-46.5791025600255,dados,São Paulo,kml_6
estacao_agregada_0138,Estação agregada 138,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,,-23.4905712541398,-46.5489324000254,dados,São Paulo,
estacao_agregada_0139,Estação agregada 139,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,,-23.4955832323626,-46.54950300002541,dados,São Paulo,
estacao_agregada_0140,Estação agregada 140,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,,-23.5015063686937,-46.5562159200255,dados,São Paulo,
estacao_agregada_0141,Estação agregada 141,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,,-23.5034997259688,-46.5582650400255,dados,São Paulo,
estacao_agregada_0142,Estação agregada 142,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,,-23.5266416566491,-46.5440126400255,dados,São Paulo,kml_34
estacao_agregada_0143,Estação agregada 143,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Linha 02 - Verde,Extensão até Guarulhos,,em construção,,-23.5305711389832,-46.5431889600254,dados,São Paulo,kml_34
estacao_agregada_0148,Estação agregada 148,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.46543358240953,-46.6998922907744,dados,São Paulo,kml_61
estacao_agregada_0149,Estação agregada 149,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.4628341288371,-46.7020099439666,dados,São Paulo,kml_61
estacao_agregada_0150,Estação agregada 150,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.4614065334468,-46.7047932599654,dados,São Paulo,kml_61
estacao_agregada_0151,Estação agregada 151,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.4619535203198,-46.7084024614642,dados,São Paulo,kml_61
estacao_agregada_0152,Estação agregada 152,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.4619829567521,-46.7113911773066,dados,São Paulo,kml_61
estacao_agregada_0153,Estação agregada 153,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.4617923095724,-46.71468936414389,dados,São Paulo,kml_64
estacao_agregada_0154,Estação agregada 154,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.46060032887731,-46.71748756605881,dados,São Paulo,kml_35
estacao_agregada_0155,Estação agregada 155,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5669795122831,-46.60078614366599,dados,São Paulo,kml_63
estacao_agregada_0156,Estação agregada 156,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.56977953976,-46.60993522966089,dados,São Paulo,kml_41
estacao_agregada_0157,Estação agregada 157,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5650965596081,-46.6149363218266,dados,São Paulo,kml_9
estacao_agregada_0158,Estação agregada 158,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.564069143096,-46.617794228622,dados,São Paulo,kml_9
estacao_agregada_0159,Estação agregada 159,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.564250690981,-46.6245790152325,dados,São Paulo,kml_5
estacao_agregada_0160,Estação agregada 160,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.565211422259,-46.6273970556866,dados,São Paulo,kml_5
estacao_agregada_0161,Estação agregada 161,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.563803047618,-46.6345095682522,dados,São Paulo,kml_5
estacao_agregada_0162,Estação agregada 162,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.4785909233083,-46.6998622946972,dados,São Paulo,kml_61
