estacao_id,nome_da_estacao,sistema,subsistema,operador,linha,fase,etapa,status,servico_expresso,latitude,longitude,origem_aba,cidade,distrito
socorro,Socorro ● ◆,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa I - Ramal de Nakamura,desconhecido,Sim,-23.66377155654964,-46.71013338060042,dados,São Paulo,kml_74
pitolomeu,Pitolomeu ●,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa I - Ramal de Nakamura,desconhecido,Não,-23.66632573438418,-46.71983627387558,dados,São Paulo,kml_91
guarapiranga,Guarapiranga ● ◆,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa I - Ramal de Nakamura,desconhecido,Sim,-23.66895516103959,-46.73542847428005,dados,São Paulo,kml_3
chacara_santana,Chacara Santana ●,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa I - Ramal de Nakamura,desconhecido,Não,-23.67402304520128,-46.74664971290417,dados,São Paulo,kml_3
comendador_antonio,Comendador Antonio ●,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa I - Ramal de Nakamura,desconhecido,Não,-23.67620896650041,-46.75865971113175,dados,São Paulo,kml_87
maria_alice,Maria Alice ●,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa I - Ramal de Nakamura,desconhecido,Não,-23.67978425264959,-46.7645307742239,dados,São Paulo,kml_87
m_boi_mirim,M'Boi Mirim ●,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa I - Ramal de Nakamura,desconhecido,Não,-23.68330215344231,-46.76912002512643,dados,São Paulo,kml_87
nakamura,Nakamura ● ◆ ■,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa I - Ramal de Nakamura,desconhecido,Sim,-23.6977605638896,-46.77917965285668,dados,São Paulo,kml_87
pedroso,Pedroso ■◆,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa II - Ramal do Itororó,desconhecido,Sim,-23.56269201247785,-46.64014408233237,dados,São Paulo,kml_5
itororo_anhangabau,Itororó-Anhangabaú ■◆,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa II - Ramal do Itororó,desconhecido,Sim,-23.54992085493678,-46.63844440898706,dados,São Paulo,kml_94
manuel_de_teffe,Manuel de Teffé ◆,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase III - Extensão para Belmira Marin,Etapa Única,desconhecido,Sim,-23.70182149988087,-46.69280442571955,dados,São Paulo,kml_26
jose_carlos_pace,José Carlos Pace ◆,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase III - Extensão para Belmira Marin,Etapa Única,desconhecido,Sim,-23.70477685154327,-46.70072183079589,dados,São Paulo,kml_26
rio_bonito,Rio Bonito,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase III - Extensão para Belmira Marin,Etapa Única,desconhecido,Não,-23.71634569266552,-46.69956864788423,dados,São Paulo,kml_26
cidade_dutra,Cidade Dutra,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase III - Extensão para Belmira Marin,Etapa Única,desconhecido,Não,-23.72660085665509,-46.69745593571035,dados,São Paulo,kml_26
grajau,Grajaú,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase III - Extensão para Belmira Marin,Etapa Única,desconhecido,Não,-23.73580479036382,-46.69677121843382,dados,São Paulo,kml_26
somara,Somara,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase III - Extensão para Belmira Marin,Etapa Única,desconhecido,Não,-23.74441889635624,-46.69051868999839,dados,São Paulo,kml_47
cocaia,Cocaia,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase III - Extensão para Belmira Marin,Etapa Única,desconhecido,Não,-23.7526216489711,-46.68860332085463,dados,São Paulo,kml_47
belmira_marin,Belmira Marin,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase III - Extensão para Belmira Marin,Etapa Única,desconhecido,Não,-23.7531611107347,-46.68144012748008,dados,São Paulo,kml_47
america,América,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,Etapa Única,desconhecido,Não,-23.60873764029716,-46.77305385922174,dados,São Paulo,
