route_id,route_short_name,route_long_name,agency_id,sistema,subsistema,status,grupo_mode,lote_mode,empresa_mode,consorcio_operador,area_operacional_num_1a9,nome,area_operacional_hex_cor,cidade
6801-51,6801-51,Jd. Ibirapuera - Term. João Dias,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6803-10,6803-10,Jd. Capelinha - Term. João Dias,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6804-10,6804-10,Jd. Ingá - Term. João Dias,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6805-10,6805-10,Term. Capelinha - Term. João Dias,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6805-31,6805-31,Term. Capelinha - Term. João Dias,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6806-10,6806-10,Jd. Novo Oriente - Term. João Dias,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6812-10,6812-10,Jd. Capela - Jd. Angela,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
6813-10,6813-10,Jd. Lídia - Term. Capelinha,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6815-10,6815-10,Jd. Comercial - Term. Capelinha,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6816-10,6816-10,Jd. Mitsutani - Term. Capelinha,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6816-31,6816-31,Jd. Mitsutani - Term. Capelinha,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6817-10,6817-10,Jd. São Bento - Term. Capelinha,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6818-10,6818-10,Jd. Vale Das Virtudes - Term. Capelinha,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6820-10,6820-10,Jd. Das Rosas - Term. Capelinha,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6820-31,6820-31,Jd. Das Rosas - Term. Capelinha,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6821-10,6821-10,Jd. Jangadeiro - Term. Capelinha,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6823-10,6823-10,Jd. Guarujá - Term. Capelinha,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6824-10,6824-10,Pq. Fernanda - Term. Capelinha,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6825-10,6825-10,Valo Velho - Term. Capelinha,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6826-10,6826-10,Jd. D. José - Term. Capelinha,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6835-10,6835-10,Valo Velho - Term. Capelinha,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6835-31,6835-31,Valo Velho - Term. Capelinha,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6836-10,6836-10,Capão Redondo - Term. João Dias,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
6837-10,6837-10,Shop. Portal - Term. Capelinha,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D12,TransCap,Bless,,,,São Paulo
